display_name,city,state,category,license_number,source_url,claimed
Ferret Dreams Rescue & Adoption,Denver,CO,ferret rescue,611555041,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Fluffy Farms Ferret Sanctuary,Lake Worth,FL,ferret rescue,332059948,https://www.irs.gov/pub/irs-soi/eo3.csv,false
God S Little Clowns Ferret Sanctuary Inc,Interlachen,FL,ferret rescue,934144118,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Navarre Ferret Rescue,Navarre,FL,ferret rescue,352464475,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Risky Business Ferret Sanctuary,Homosassa,FL,ferret rescue,413760786,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Second Chance Ferret Rescue Inc,Holiday,FL,ferret rescue,394296763,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Kindness Matters Inc,Acworth,GA,ferret rescue,454482882,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Floofy 5 Ferret Rescue Inc,Boise,ID,ferret rescue,415318759,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Zoos Ferret Sanctuary N F P,Kirkland,IL,ferret rescue,412060006,https://www.irs.gov/pub/irs-soi/eo2.csv,false
Five Points Ferret Refuge,Indianapolis,IN,ferret rescue,900751884,https://www.irs.gov/pub/irs-soi/eo2.csv,false
Kentuckiana Ferret Haven Inc,Louisville,KY,ferret rescue,462169481,https://www.irs.gov/pub/irs-soi/eo2.csv,false
Sephys Ferret Sanctuary,Louisville,KY,ferret rescue,461866014,https://www.irs.gov/pub/irs-soi/eo2.csv,false
Ferret Rescue of MA,Stow,MA,ferret rescue,413060157,https://www.irs.gov/pub/irs-soi/eo1.csv,false
South Mississippi Ferret Rescue,Biloxi,MS,ferret rescue,393303603,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Ferret Guardian Rescue Haven Inc,Hudson,NC,ferret rescue,311685162,https://www.irs.gov/pub/irs-soi/eo2.csv,false
4 Lil Paws Ferret Shelter Inc,Brentwood,NH,ferret rescue,020480680,https://www.irs.gov/pub/irs-soi/eo1.csv,false
Ferrets and Friends Sanctuary,Sicklerville,NJ,ferret rescue,923928956,https://www.irs.gov/pub/irs-soi/eo1.csv,false
Angel Ferret Shelter Services Inc,Las Vegas,NV,ferret rescue,880392460,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Friends of Ferrets Rescue Inc,Duanesburg,NY,ferret rescue,394093425,https://www.irs.gov/pub/irs-soi/eo1.csv,false
Furever Ferrets Sanctuary Inc,East Rochester,NY,ferret rescue,884078611,https://www.irs.gov/pub/irs-soi/eo1.csv,false
Lakeroad Ferret Farm Rescue-Shelter Inc,Naples,NY,ferret rescue,421695576,https://www.irs.gov/pub/irs-soi/eo1.csv,false
Ferrets Unlimited Rescue Services,Cleveland,OH,ferret rescue,300509042,https://www.irs.gov/pub/irs-soi/eo2.csv,false
Elis Ark Ferret Rescue Inc,Blanchard,OK,ferret rescue,333124034,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Final Home Ferret Rescue,Portland,OR,ferret rescue,393246227,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Willamette Valley Ferret Shelter,Carlton,OR,ferret rescue,813276015,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Diane Bodofsky Last Chance Ferret Rescue,Southampton,PA,ferret rescue,232916085,https://www.irs.gov/pub/irs-soi/eo2.csv,false
Oxford Ferret Rescue-Cecil County Animal Rescue,Fawn Grove,PA,ferret rescue,141851472,https://www.irs.gov/pub/irs-soi/eo2.csv,false
Pennsylvania Ferret Rescue Association Inc,State College,PA,ferret rescue,934459470,https://www.irs.gov/pub/irs-soi/eo2.csv,false
Dooks of Earl Ferret Sanctuary Inc,Brownsville,TN,ferret rescue,880945277,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Flying Ferret Sanctuary,Maryville,TN,ferret rescue,993321544,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Austin Ferret Rescue,Austin,TX,ferret rescue,331970709,https://www.irs.gov/pub/irs-soi/eo3.csv,false
The Texas Ferret Lovers Rescue,Fate,TX,ferret rescue,680619842,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Hamiltons Ferret Haven,Cleveland,UT,ferret rescue,831813158,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Ferret Haven By-The-Sea,Virginia Beach,VA,ferret rescue,541868845,https://www.irs.gov/pub/irs-soi/eo2.csv,false
Nirvana Ridge Ferret Rescue,Brandy Station,VA,ferret rescue,352525389,https://www.irs.gov/pub/irs-soi/eo2.csv,false
Sammys Clubhouse Spokane Ferret Rescue and Education,Spokane Valley,WA,ferret rescue,461283083,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Ferret Underground - A Wisconsin Ferret Rescue Inc,Tomah,WI,ferret rescue,473764015,https://www.irs.gov/pub/irs-soi/eo2.csv,false
Friscos Friends Ferret Rescue,Casper,WY,ferret rescue,934791108,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Saddies Mischief Makers Ferret Sanctury,Cheyenne,WY,ferret rescue,332111445,https://www.irs.gov/pub/irs-soi/eo3.csv,false
Critter Crossing Rehabilitation,Lapeer,MI,small mammal rescue,,https://www.michigan.gov/dnr/managing-resources/wildlife/wildlife-permits/wildlife-rehabilitation-permit-information/directory-of-licensed-wildlife-rehabilitators,false
St Melangell Small Mammal Sanctuary,Batavia,OH,small mammal rescue,811329687,https://www.irs.gov/pub/irs-soi/eo2.csv,false
Pine View Wildlife Rehabilitation and Education Center,Saukville,WI,small mammal rescue,,https://dnr.wisconsin.gov/topic/wildlifehabitat/directory/ozaukee,false
Tender Touch Wildlife Rehabilitation,Rice Lake,WI,small mammal rescue,,https://dnr.wisconsin.gov/topic/wildlifehabitat/directory/barron,false
Bayshore Animal Hospital & Avian Practice,Birmingham,AL,exotic veterinarian,VE-0006238,https://www2.myfloridalicense.com/sto/file_download/extracts/lic26vt.csv,false
Avian & Exotic Animal Hospital,San Diego,CA,exotic veterinarian,4082,https://www.dca.ca.gov/consumers/public_info/index.html,false
Avian & Exotic Animal Hospital of La Co,Hawthorne,CA,exotic veterinarian,2925,https://www.dca.ca.gov/consumers/public_info/index.html,false
Avian & Exotic Clinic of Monterey,Del Rey Oaks,CA,exotic veterinarian,6973,https://www.dca.ca.gov/consumers/public_info/index.html,false
Avian & Exotic Urgent Care,San Leandro,CA,exotic veterinarian,40260,https://www.dca.ca.gov/consumers/public_info/index.html,false
Avian and Exotic Animal Health Services,Folsom,CA,exotic veterinarian,39787,https://www.dca.ca.gov/consumers/public_info/index.html,false
Bay Area Bird and Exotics Hospital,San Francisco,CA,exotic veterinarian,5071,https://www.dca.ca.gov/consumers/public_info/index.html,false
Cat and Exotic Care Veterinary Corp.,Pismo Beach,CA,exotic veterinarian,5945,https://www.dca.ca.gov/consumers/public_info/index.html,false
Clinical Avian Pathology Services,Lincoln,CA,exotic veterinarian,40320,https://www.dca.ca.gov/consumers/public_info/index.html,false
Dr. Sip Exotics Veterinary House Calls,Berkeley,CA,exotic veterinarian,38661,https://www.dca.ca.gov/consumers/public_info/index.html,false
Exotic Animal Veterinary Center,Pasadena,CA,exotic veterinarian,6760,https://www.dca.ca.gov/consumers/public_info/index.html,false
"Exotic Pet Clinic of Santa Cruz, Inc.",Scotts Valley,CA,exotic veterinarian,38434,https://www.dca.ca.gov/consumers/public_info/index.html,false
Veterinary Wildlife and Exotics,Covina,CA,exotic veterinarian,7409,https://www.dca.ca.gov/consumers/public_info/index.html,false
"All Birds, Cats Dogs & Exotics Animal Clinic",North Palm Beach,FL,exotic veterinarian,VE-0002550,https://www2.myfloridalicense.com/sto/file_download/extracts/lic26vt.csv,false
"All Birds, Cats, Dogs and Exotics Animal Clinic",North Palm Beach,FL,exotic veterinarian,VE-0007041,https://www2.myfloridalicense.com/sto/file_download/extracts/lic26vt.csv,false
Animal & Exotic Medical Center,Lutz,FL,exotic veterinarian,VE-0003605,https://www2.myfloridalicense.com/sto/file_download/extracts/lic26vt.csv,false
Avian & Exotic Clinic of Palm City,Palm City,FL,exotic veterinarian,VE-0005229,https://www2.myfloridalicense.com/sto/file_download/extracts/lic26vt.csv,false
Avian and Animal Hospital LLC,Largo,FL,exotic veterinarian,VE-0006965,https://www2.myfloridalicense.com/sto/file_download/extracts/lic26vt.csv,false
Broward Avian & Exotic Animal Clinic,Deerfield Beach,FL,exotic veterinarian,VE-0004271,https://www2.myfloridalicense.com/sto/file_download/extracts/lic26vt.csv,false
Broward Avian & Exotic Animal Hospital,Deerfield Beach,FL,exotic veterinarian,VE-0007097,https://www2.myfloridalicense.com/sto/file_download/extracts/lic26vt.csv,false
Exotic Bird Hospital Inc,Jacksonville,FL,exotic veterinarian,VE-0003563,https://www2.myfloridalicense.com/sto/file_download/extracts/lic26vt.csv,false
Feline Avian & Exotic Aminal Hospital,Dunedin,FL,exotic veterinarian,VE-0002557,https://www2.myfloridalicense.com/sto/file_download/extracts/lic26vt.csv,false
