display_name,city,state,category,license_number,source_url,claimed
AMERICAN CANINE TRAINING,Avondale,AZ,dog trainer,1996003534,https://data.sandiego.gov/datasets/business-tax-certificates/,false
PETSUITES OF AMERICA LLC,Agoura Hills,CA,dog trainer,TRF.000374,https://data.ct.gov/Business/State-Licenses-and-Credentials/ngch-56tr,false
BIRGIT HAFERMANN DOG TRAINING,Berkeley,CA,dog trainer,BL-016813,https://data.cityofberkeley.info/Finance/Business-Licenses/rwnf-bu3w,false
TEAMMATES IN TRAINING LLC,Berkeley,CA,dog trainer,BL-022446,https://data.cityofberkeley.info/Finance/Business-Licenses/rwnf-bu3w,false
TEIXEIRA TRAINING,Berkeley,CA,dog trainer,BL-016529,https://data.cityofberkeley.info/Finance/Business-Licenses/rwnf-bu3w,false
ALL THINGS POSSIBLE DOG TRAINING,Bonita,CA,dog trainer,2019005829,https://data.sandiego.gov/datasets/business-tax-certificates/,false
AIN'T MISBEHAVIN' DOG TRAINING INC,Burbank,CA,dog trainer,0002918005-0001-4,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
K9 LOGIC DOG TRAINING,Burbank,CA,dog trainer,0003014602-0001-6,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
RMD K9 DOG TRAINING,Canoga Park,CA,dog trainer,0003007877-0001-6,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
GOLDEN COAST DOG TRAINING,Carlsbad,CA,dog trainer,2022010814,https://data.sandiego.gov/datasets/business-tax-certificates/,false
"CARE 4 YOUR PET DOG TRAINING, CARE 4 YOUR PET",Chatsworth,CA,dog trainer,0000001379-0002-5,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
ALPHA PAWS DOG TRAINING INC,Encino,CA,dog trainer,0003355134-0001-4,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
JOHN'S NATURAL DOG TRAINING CO,Escondido,CA,dog trainer,1995005112,https://data.sandiego.gov/datasets/business-tax-certificates/,false
TOTAL K9 TRAINING,Escondido,CA,dog trainer,2005009211,https://data.sandiego.gov/datasets/business-tax-certificates/,false
UBERDOG DYNAMIC PET TRAINING AND UBERDOG,Escondido,CA,dog trainer,2014002254,https://data.sandiego.gov/datasets/business-tax-certificates/,false
BORN FREE DOG TRAINING,Granada Hills,CA,dog trainer,0003529736-0001-3,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
J9'S K9S DOG TRAINING INC,Granada Hills,CA,dog trainer,0000129931-0001-1,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
YOUR BEST COMPANION DOG TRAINING AND BEHAVIOR,Granada Hills,CA,dog trainer,0003332188-0001-6,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
DANIEL ROBINSON DOG TRAINING,La Canada,CA,dog trainer,0003131677-0001-1,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
SUNNY SIDE DOG TRAINING LLC,Lawndale,CA,dog trainer,0003304678-0001-9,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
PAWS AND EFFECT DOG TRAINING,Long Beach,CA,dog trainer,0003178052-0001-8,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
AIM HIGH DOG TRAINING,Los Angeles,CA,dog trainer,0003588686-0001-4,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
AMIR DOG TRAINING,Los Angeles,CA,dog trainer,0002708943-0001-6,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
ARROW CUSTOM DOG TRAINING AND SERVICES,Los Angeles,CA,dog trainer,0003117989-0001-9,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
BEST FURRY FRIEND DOG TRAINING LLC,Los Angeles,CA,dog trainer,0003458448-0001-8,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
GET READY! DOG TRAINING,Los Angeles,CA,dog trainer,0002784191-0001-1,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
HAPPY PAWS DOG TRAINING LA,Los Angeles,CA,dog trainer,0002751225-0001-1,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
JUMPSTART DOG TRAINING,Los Angeles,CA,dog trainer,0003248603-0001-0,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
LUCKY DOG TRAINING LLC,Los Angeles,CA,dog trainer,0003531724-0001-9,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
MO CHARA DOG TRAINING,Los Angeles,CA,dog trainer,0003085770-0001-2,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
PACKDADDY DOG TRAINING,Los Angeles,CA,dog trainer,0003528131-0001-4,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
PAWGRESS; PAWGRESS DOG TRAINING,Los Angeles,CA,dog trainer,0003328697-0001-3,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
REBECCA SETLER'S DOG OBEDIENCE TRAINING SERVICE,Los Angeles,CA,dog trainer,0003548407-0001-8,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
"RESET DOG TRAINING NETWORK, INC",Los Angeles,CA,dog trainer,0003123124-0001-6,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
TEACHER'S PET DOG TRAINING,Los Angeles,CA,dog trainer,0002711969-0001-6,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
THE RANCH DOG TRAINING LLC,Los Angeles,CA,dog trainer,0003251120-0001-8,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
WOOF PACK DOG TRAINING LLC,Los Angeles,CA,dog trainer,0003110411-0001-5,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
WUFF DOG TRAINING,Los Angeles,CA,dog trainer,0003297169-0001-2,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
LA'S DOG TRAINER,N Hollywood,CA,dog trainer,0002570188-0001-3,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
JULIE STERLING DOG TRAINING LLC,Newbury Park,CA,dog trainer,0002460931-0001-7,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
CAMP CANINE TRAINING LLC,North Hollywood,CA,dog trainer,0003514488-0001-3,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
BOBBY'S DOG TRAINING,Northridge,CA,dog trainer,0002900612-0001-9,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
BRODA DOG TRAINING,Northridge,CA,dog trainer,0003426099-0001-4,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
DOG TOWN DOG TRAINING,Northridge,CA,dog trainer,0003058042-0001-6,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
THE CAPTAIN'S PROFESSIONAL DOG TRAINING,Northridge,CA,dog trainer,0003028044-0001-6,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
CENTER FOR APPLIED ANIMAL,Oakland,CA,dog trainer,BL-045460,https://data.cityofberkeley.info/Finance/Business-Licenses/rwnf-bu3w,false
Pintar Dog Training,Pacifica,CA,dog trainer,1152701,https://data.sfgov.org/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,false
DOG TRAINING ELITE WEST LA,Sacramento,CA,dog trainer,0003414517-0001-6,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
CAMERON THOMPSON MOORE'S K9 TRAINING,San Diego,CA,dog trainer,2005000643,https://data.sandiego.gov/datasets/business-tax-certificates/,false
COMPLETE CANINE PROFESSIONAL DOG TRAINING,San Diego,CA,dog trainer,1996013275,https://data.sandiego.gov/datasets/business-tax-certificates/,false
DOGMANTICS DOG TRAINING,San Diego,CA,dog trainer,2011014629,https://data.sandiego.gov/datasets/business-tax-certificates/,false
LUPA K9 DOG TRAINING LLC,San Diego,CA,dog trainer,2020010479,https://data.sandiego.gov/datasets/business-tax-certificates/,false
MCMAHON DOG TRAINING,San Diego,CA,dog trainer,2023012320,https://data.sandiego.gov/datasets/business-tax-certificates/,false
PEACE PUPS DOG TRAINING,San Diego,CA,dog trainer,2024001102,https://data.sandiego.gov/datasets/business-tax-certificates/,false
PERFORMANCE DOG TRAINING,San Diego,CA,dog trainer,2010001766,https://data.sandiego.gov/datasets/business-tax-certificates/,false
PETIQUETTE DOG TRAINING,San Diego,CA,dog trainer,2026010402,https://data.sandiego.gov/datasets/business-tax-certificates/,false
STARPUP DOG TRAINING,San Diego,CA,dog trainer,2022010774,https://data.sandiego.gov/datasets/business-tax-certificates/,false
TAKE THE LEAD DOG TRAINING,San Diego,CA,dog trainer,2003024916,https://data.sandiego.gov/datasets/business-tax-certificates/,false
WAGYOU DOG TRAINING,San Diego,CA,dog trainer,2025016830,https://data.sandiego.gov/datasets/business-tax-certificates/,false
WEN'S WAGGIN TAILS DOG TRAINING,San Diego,CA,dog trainer,2018017125,https://data.sandiego.gov/datasets/business-tax-certificates/,false
WHO'S WALKING WHO? DOG TRAINING,San Diego,CA,dog trainer,2005015601,https://data.sandiego.gov/datasets/business-tax-certificates/,false
Bright Lights Dog Training,San Francisco,CA,dog trainer,0471607,https://data.sfgov.org/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,false
Csm Dog Training,San Francisco,CA,dog trainer,1043379,https://data.sfgov.org/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,false
Dog Training Elite - San Francisco,San Francisco,CA,dog trainer,1178296,https://data.sfgov.org/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,false
Furry Friends Dog Training,San Francisco,CA,dog trainer,1165408,https://data.sfgov.org/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,false
Go Ask Alice Dog Training,San Francisco,CA,dog trainer,0421522,https://data.sfgov.org/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,false
Go Fetch Dog Training,San Francisco,CA,dog trainer,0429691,https://data.sfgov.org/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,false
Mel's Dog Training LLC,San Francisco,CA,dog trainer,1180144,https://data.sfgov.org/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,false
Tracy Pore Dog Training,San Francisco,CA,dog trainer,0489368,https://data.sfgov.org/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,false
HEART MUTT DOG TRAINING LLC,Sherman Oaks,CA,dog trainer,0003549273-0001-6,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
