display_name,city,state,category,license_number,source_url,claimed
THE AQUARIUM PEOPLE,Burbank,CA,aquarium store,0000130823-0001-0,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
AQUARIUM CITY,Canoga Park,CA,aquarium store,0000797665-0001-9,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
BLUE OCEAN AQUARIUMS,Canoga Park,CA,aquarium store,0002565529-0001-9,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
VIVID AQUARIUMS INC.,Canoga Park,CA,aquarium store,0000039012-0001-6,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
AQUATIC ART AQUARIUMS,Carpinteria,CA,aquarium store,0002775385-0001-3,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
NATURE AQUARIUM,Culver City,CA,aquarium store,0003097124-0001-4,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
AQUATIC ILLUSIONS,Granada Hills,CA,aquarium store,0000559038-0001-1,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
LA AQUARIUMS,Granada Hills,CA,aquarium store,0003447059-0001-0,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
AQUARIUM PLANT DISTRIBUTING LLC,Los Angeles,CA,aquarium store,0003600722-0001-9,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
AQUARIUM WORLD,Los Angeles,CA,aquarium store,0002524506-0001-5,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
CORAL REEF AQUARIUMS INC,Los Angeles,CA,aquarium store,0002005428-0001-1,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
FUMIS TROPICAL FISH,Los Angeles,CA,aquarium store,0000843281-0001-0,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
HUNTERCURRENT TIDES AQUARIUMS,Los Angeles,CA,aquarium store,0003348408-0001-1,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
MINH'S TROPICAL FISH,Los Angeles,CA,aquarium store,0003451249-0001-5,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
PURAVIDA AQUATIC,Los Angeles,CA,aquarium store,0000399788-0001-1,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
TOKYO AQUARIUM,Los Angeles,CA,aquarium store,0003270078-0001-0,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
TONG'S TROPICAL FISH & PETS,Los Angeles,CA,aquarium store,0003425523-0001-5,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
YO'S TROPICAL FISH,Los Angeles,CA,aquarium store,0003518590-0001-8,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
ABOVE SEVEN AQUATICS,North Hills,CA,aquarium store,0003504694-0001-9,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
DEEP BLUE AQUARIUM AND SERVICE INC,North Hollywood,CA,aquarium store,0002846739-0001-0,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
TIDE POOL AQUATICS,Pacific Palisades,CA,aquarium store,0003059119-0001-2,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
FIVE STAR AQUARIUM SERVICES,Palmdale,CA,aquarium store,0000602084-0001-3,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
NKR AQUATICS,Reseda,CA,aquarium store,0003350833-0001-1,https://data.lacity.org/Administration-Finance/Listing-of-Active-Businesses/6rrh-rzua,false
BLUE EMPIRE REEF,San Diego,CA,aquarium store,2026003695,https://data.sandiego.gov/datasets/business-tax-certificates/,false
PET ZONE TROPICAL FISH,San Diego,CA,aquarium store,2018011117,https://data.sandiego.gov/datasets/business-tax-certificates/,false
Aqua Forest Aquarium,San Francisco,CA,aquarium store,0379420,https://data.sfgov.org/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,false
Aquarium Tek,San Francisco,CA,aquarium store,0479830,https://data.sfgov.org/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,false
Assorted Aquatics LLC,San Francisco,CA,aquarium store,1171544,https://data.sfgov.org/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,false
California Marine Aquariums,San Francisco,CA,aquarium store,0428788,https://data.sfgov.org/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,false
Fairy Lake Aquarium,San Francisco,CA,aquarium store,0936243,https://data.sfgov.org/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,false
Ocean Aquarium,San Francisco,CA,aquarium store,0439137,https://data.sfgov.org/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,false
